,TranslatedRecipeName,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,TranslatedInstructions
0,Masala Karela Recipe,"6 Karela (Bitter Gourd/ Pavakkai) - deseeded,Salt - to taste,1 Onion - thinly sliced,3 tablespoon Gram flour (besan),2 teaspoons Turmeric powder (Haldi),1 tablespoon Red Chilli powder,2 teaspoons Cumin seeds (Jeera),1 tablespoon Coriander Powder (Dhania),1 tablespoon Amchur (Dry Mango Powder),Sunflower Oil - as required",15,30,45,6,Indian,Side Dish,Diabetic Friendly,"To begin making the Masala Karela Recipe,de-seed the karela and slice. Do not remove the skin as the skin has all the nutrients. Add the karela to the pressure cooker with 3 tablespoon of water, salt and turmeric powder and pressure cook for three whistles. Release the pressure immediately and open the lids. Keep aside.Heat oil in a heavy bottomed pan or a kadhai. Add cumin seeds and let it sizzle.Once the cumin seeds have sizzled, add onions and saute them till it turns golden brown in color.Add the karela, red chilli powder, amchur powder, coriander powder and besan. Stir to combine the masalas into the karela.Drizzle a little extra oil on the top and mix again. Cover the pan and simmer Masala Karela stirring occasionally until everything comes together well. Turn off the heat.Transfer Masala Karela into a serving bowl and serve.Serve Masala Karela along with Panchmel Dal and Phulka for a weekday meal with your family. "
16,Hariyali Egg Curry Recipe In Coriander and Mint Gravy,"4 Whole Eggs - boiled,1 Cinnamon Stick (Dalchini) - small,1 Bay leaf (tej patta),2 Cloves (Laung),1 tablespoon Sunflower Oil,2 teaspoons Coriander Powder (Dhania),1 teaspoon Garam masala powder,2 tablespoons Fresh cream,2 cups Coriander (Dhania) Leaves - tightly packed,1 cup Mint Leaves (Pudina) - chopped,2 Green Chillies - chopped,1 Onion - roughly chopped,1 inch Ginger - chopped,4 cloves Garlic",15,20,35,4,Indian,Lunch,Eggetarian,"To begin making the Hariyali Egg Curry recipe, we will first make the Hariyali Masala.Into the Mixer Grinder (medium jar), add the Coriander leaves mint leaves, Green Chillies and 1/2 cup water. Blend all of them together to make a smooth paste and keep aside.Into the small jar of the mixer grinder, add the onions, ginger and garlic and grind to make a paste. Heat 1 tablespoon oil in a kadai over medium heat, add the Bay leaf (tej patta), Cloves, Cinnamon Stick and roast for a few seconds. Add the Onion ginger garlic paste.Saute for 4 to 5 minutes until raw onion smell goes away.Once the onions are roasted, add garam masala powder, coriander powder and saute for a few seconds.Add the Hariyali Coriander Mint Mixture, the fresh cream and the 4 Boiled eggs.Add water if required to adjust the consistency of the Hariyali Egg Curry.  Cover & simmer the Hariyali Egg Curry for 5 minutes.Check the salt and spices and adjust to according to your taste and transfer the Hariyali Egg Curry into a serving bowl. Serve the Hariyali Egg Curry along with Malabar Parotta or  Whole Wheat Lachha Paratha and Burani Raita for a weeknight dinner."
17,Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,"2 cups curd, 1 cup gourd - peel and tighten, 1 cucumber - peel and grind, 1 green - finely chopped, 1 green coriander - little, 1/2 teaspoon cumin powder, salt - as per taste",15,15,30,4,Indian,Side Dish,Vegetarian,"To prepare gourd raita, prepare all the ingredients first. Add grated gourd, cucumber, curd, green chillies, salt, cumin powder and coriander in a large bowl. Mix well and your raita is ready. Serve gourd raita with Garlic Dal, gourd elder greens and phulka for dinner."
24,Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,"3/4 cup Mango Pulp (Puree),1 cup Curd (Dahi / Yogurt) - (low fat),1 tablespoon Sugar - or honey,2 pinch Saffron strands,3 tablespoons Badam (Almond) - roughly chopped,3 tablespoons Milk - luke warm+more cold milk as needed,Ice cubes - a few",15,10,25,2,Indian,Snack,Vegetarian,"To begin making Kesar Mango Lassi Recipe, soak one pinch kesar in 2 tablespoons warm milk and keep it aside for few minutes.Get prep with other ingredients as well. Take out the pulp from the mangoes and keep aside.In a blender, add mango pulp, curd/yogurt, cold milk and blend till combined.Once it is done, add chopped almonds (2 tablespoons), honey or sugar, some ice cubes and blend to make the Kesar Mango Lassi Recipe.Kesar Mango Lassi Recipe is ready to serve, garnish it with the rest of chopped almonds and saffron and serve with Bhel Puri Recipe or Asian Watermelon Salad Recipe during evening."
26,Mini Dal Samosa Curry / Sabzi Recipe,"3 Cardamom (Elaichi) Pods/Seeds,6 Whole Black Peppercorns,1/2 inch Cinnamon Stick (Dalchini),3 cloves Cloves (Laung),1 Mace (Javitri),1 Bay leaf (tej patta),1 Black cardamom (Badi Elaichi),1/2 teaspoon Kasuri Methi (Dried Fenugreek Leaves),1/2 teaspoon Kashmiri Red Chilli Powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Garam masala powder,6 Samosas - mini,15 Cashew nuts,1 Green Chilli,1 Onion - roughly chopped,2 Tomato - roughly chopped,1/2 inch Ginger,1/2 teaspoon Sugar,1 tablespoon Fresh cream,2 tablespoons Sunflower Oil",5,30,35,3,North Indian,Lunch,Vegetarian,"To begin making the Mini Dal Samosa Gravy Recipe, we need to first prepare the gravy. In a heavy bottomed pan, add 1 tablespoon of cooking oil and heat it on a medium flame. Once the oil is hot, add Cardamom, Black Pepper, Cloves, Cinnamon, Javitri and saute for few seconds. Next add cashew nuts, green chilli, ginger, chopped onion and tomatoes. Mix well and add 1/2 cup water and Salt (as per your taste)Cover the pan and boil this mixture until the onions and tomato become soft. Turn off the flame and let this mixture cool. Once the mixture is cool, add it to a mixer and blend until smooth. Strain the paste to remove any big chunk of ingredients (optional to give fineness to gravy). Keep aside. In the same heavy bottomed pan, heat one tablespoons of oil and add bay leaf, black cardamom. Once the spices release the aromas add in the ground tomato and onion mixture, add Kashmiri Red Chilli powder, Turmeric powder, Coriander powder, Garam Masala and the crushed Kasuri Methi.Mix well and cook for 10 mins at low flame. Add fresh cream and sugar and stir it well into the gravy. Simmer for a few more minutes and add the mini Samosas in the gravy. Turn off the flame.Make sure to add the mini dal samosas to the gravy only one hour before serving, else the samosa will get completely soggy. To make mini dal samosas at home follow Moong Dal Mini Samosas.Serve Mini Dal Samosa Curry Recipe along with hot Phulka, Tawa Paratha or Jeera Rice and Kachumber Salad Recipe With Cucumber, Onion & Tomatoes for a sumptuous Sunday meal"
33,Matar Samosa Recipe -Green Pea Samosa,"1 cup All Purpose Flour (Maida),2 tablespoons Ghee,1/2 teaspoon Salt,Sunflower Oil - for deep frying,2 tablespoons Ghee,1 teaspoon Cumin seeds (Jeera),1 teaspoon Green Chilli Sauce,1/2 teaspoon Cinnamon Powder (Dalchini),1/2 teaspoon Garam masala powder,1/4 teaspoon Red Chilli powder,2 teaspoon Amchur (Dry Mango Powder),1-1/2 cups Green peas (Matar) - steamed and mashed,Salt - to taste,2 teaspoon All Purpose Flour (Maida),1/4 cup Water",45,10,55,4,North Indian,Snack,Vegetarian,"To begin making the Matar Samosa Recipe first, mix together half a teaspoon of salt into the flour. Rub ghee or vegetable shortening into the flour mixture, with your fingers until it resembles loose bread crumbs.Gradually add water, slowly, and knead to make a soft but firm dough. Roll the dough into a ball, cover with a moist muslin cloth and keep aside.The next step is to make the filling. In a kadai or heavy bottomed pan, warm the ghee, add the jeera and allow it to crackle and tip in the chilli paste. Saute these together for a minute.Add peas followed by all the other spices and cook till the pea mixture becomes dry and all the water has dried up. Season with salt and cook again for 2-3 minutes. Set the peas mixture aside to cool down so it is easier to handle when shaping the samosas.Make a flour paste, by combining the flour and water.To begin making the samosa cases, divide the dough into small balls and roll them into thin circles. Cut each rolled-out circle into two halves by running your knife down the center, so you have 2 semi-circles for each disc. Roll the semi-circles into cones and using a teaspoon fill them with the peas mixture.Dab the flour paste along the edges of the open side of the cone, press the two edges together and seal. Arrange the matar samosas in a platter and cover them with a moist muslin cloth.Heat oil for deep frying in a kadai on medium heat. Deep fry the matar samosas in hot oil till they are golden brown. Try not to fry too many together as it will crowd the kadai and alter the cooking time.Remove the Matar Samosa from the kadai using a slotted spoon and drain them on kitchen paper. Matar Samosa  can be served with a dollop of Dhaniya Pudina Chutney and khajoor imli chutney or tomato ketchup, along with masala chai in the evening."
40,Kesar Chai Recipe - A Delicious Saffron Flavored Indian Tea,"2 cups Water,1 teaspoon Tea leaves,1/4 cup Milk,10 Saffron strands - or more",0,10,10,2,North Indian,North Indian Breakfast,Vegetarian,"To begin making the Kesar Chai, add water into a saucepan, along with the saffron strands and allow it to come to a brisk boil.Once it begins to boil; add the tea leaves. Allow the tea leaves to simmer in the water for about a minute and turn off the heat.Once you add the tea leaves, allow it to brew just a little to ensure the tea stays light and does not turn bitter.Stir in the milk into the chai and allow it to rest for a few seconds. Strain the Kesar chai into the cups and serve. Add a few more saffron strands to the top while serving, this will give a great look and also add to the taste and flavor of the chai.Serve the Kesar chai Recipe along with Samosa or Vegetable Bajji or Pakora for an evening snack."
49,Aamras Recipe - Ripe Mango Ras,"3 cups Mango (Ripe) - cut into pieces,1/4 cup Water,Sugar - optional",10,5,15,4,North Indian,Side Dish,Vegan,"To begin making the Aamras Recipe, roll the whole mangoes with your palms to soften them.Peel the mango, transfer all the pulp into a mixer-jar, discarding the seed. Along with the mango pulp in the jar, add water and adjust the sugar to your liking and depending on the sweetness of the mango. Pulse it until smooth. Keep in fridge for some time and serve cold along with your meal.Serve this delicious Aamras recipe along with Puri Recipe, Batata Nu Shaak and Mumbai Style Masala Khichia Churi or just enjoy it on its own for your breakfast or evening snack, and you will simply love it."
52,Dalia Pakora Recipe - Dalia Pakora Recipe,"1 cup Broken Wheat (Dalia/ Godumai Rava),Salt - to taste,1/2 teaspoon Sunflower Oil,1/3 cup Gram flour (besan),1 Onion - finely chopped,1/4 cup Coriander (Dhania) Leaves - finely chopped,1 Green Chilli - finely chopped,Salt - to taste,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Ajwain (Carom seeds),1 tablespoon Sunflower Oil,Water - as required to make a thick pakora batter,1 teaspoon Enos fruit salt,Sunflower Oil - as required to fry the pakoras",10,15,25,4,Indian,Snack,Vegetarian,"To make Oatmeal Pakora Recipe, we will first cook Dalia. Wash the panel and keep it aside. In a pressure cooker, add 2 cups of water, a little salt, oil, Dalia and mix. Close the pressure cooker and cook until 4 to 5 come to the city. Turn off the gas and let the pressure drain automatically. Open the cooker and if there is still water left then keep stirring on high heat and cook until all the water is gone. Take out the cooked pak in a large bowl and keep it aside to cool. After cooling, add gram flour, onion, coriander, green chillies, salt, turmeric powder, cumin, celery, oil, water and make a thick batter. Add ino fruit salt to it and mix. Now heat a paniyaram pan. Add oil to each cavity and after the oil is heated add a little oatmeal batter. Cook until golden brown and crisp from all sides. Serve. You can also fry these pakodas in a pan. Serve the dalia pakora recipe with coriander mint chutney and tamarind chutney. You can also serve a hot cup of masala tea with it."
58,Cheesy Garlic Broccoli Nuggets Recipe,"1-1/2 cups Broccoli - florets,1/2 cup Mozzarella cheese,1 tablespoon Nutralite Cheesy Garlic Mayo,2 tablespoons Corn flour,1/4 cup Whole Wheat Bread crumbs,Salt - to taste,Nutralite Garlic & Oregano Spread - for pan roasting",20,15,35,6,Indian,Snack,Eggetarian,"To begin making Cheesy Garlic Broccoli Nuggets Recipe, firstly wash and then finely chop the broccoli florets. Melt Nutralite Garlic & Oregano Spread in a pan, add the broccoli and saute it for about a minute until it softens just a bit.Once it softens, allow it to cool completely. Once the broccoli florets have cooled down, add in the cheese, Cheesy Garlic Mayo, corn flour and salt and mix well. Have a taste to check for salt and seasoning and adjust accordingly.Take a small quantity of the Cheesy Garlic Broccoli Nuggets mixture and shape it into small oval kebab size portions. Toss these Cheesy Garlic Broccoli Nuggets on breadcrumbs to give it a crust.Heat a skillet and melt a little Nutralite Garlic & Oregano spread over medium heat.Place the Cheesy Garlic Broccoli Nuggets and pan fry them on both sides until they are browned and crisp.Serve Cheesy Garlic Broccoli Nuggets Recipe along with a Cocoa Banana Almond Date Smoothie as an after school snack for your kids or even as a party appetizer along with Nutralite Achari Mayo as a dip by the side."
